rt,trial_type,trial_index,trial_number,time_elapsed,random_id,figure,difficulty,text_response,word_count,file_name,participant_id,image_description,participant_gender,participant_major,participant_is_group_member,stimulus_complexity
74162,survey-text,4,1,92742,p09z5qk6x27,stimuli/114.jpg,hard,sharp and uneven,3,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p09z5qk6x27_1772155536316.csv,lynx,sharp and uneven ,Male,Cognitive Behavioral Neuroscience,FALSE,114
82838,survey-text,5,2,175586,p09z5qk6x27,stimuli/82.jpg,medium,"sort of symmetrical, sort of sharp and pointy with some flat edges",12,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p09z5qk6x27_1772155536316.csv,lynx,"sort of symmetrical, sort of sharp and pointy with some flat edges",Male,Cognitive Behavioral Neuroscience,FALSE,82
85431,survey-text,6,3,261021,p09z5qk6x27,stimuli/58.jpg,medium,flat edges kinda boring lowkey no personality,7,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p09z5qk6x27_1772155536316.csv,lynx,flat edges kinda boring lowkey no personality,Male,Cognitive Behavioral Neuroscience,FALSE,58
48393,survey-text,7,4,309419,p09z5qk6x27,stimuli/10.jpg,easy,"even and square-like, kind of looks like a trapezoid,4 clear sides",11,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p09z5qk6x27_1772155536316.csv,lynx,"even and square-like, kind of looks like a trapezoid,4 clear sides",Male,Cognitive Behavioral Neuroscience,FALSE,10
68748,survey-text,8,5,378174,p09z5qk6x27,stimuli/66.jpg,medium,one side has more points and sharper edges and the other side has less,14,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p09z5qk6x27_1772155536316.csv,lynx,one side has more points and sharper edges and the other side has less,Male,Cognitive Behavioral Neuroscience,FALSE,66
129373,survey-text,9,6,507556,p09z5qk6x27,stimuli/122.jpg,hard,"uneven but not sharp, looks like it has some arms or branches sticking out from it
",16,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p09z5qk6x27_1772155536316.csv,lynx,"uneven but not sharp, looks like it has some arms or branches sticking out from it
",Male,Cognitive Behavioral Neuroscience,FALSE,122
42605,survey-text,10,7,550167,p09z5qk6x27,stimuli/26.jpg,easy,"looks like a dorito with a part taken out of it, like it was almost a triangle but had a part removed",22,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p09z5qk6x27_1772155536316.csv,lynx,"looks like a dorito with a part taken out of it, like it was almost a triangle but had a part removed",Male,Cognitive Behavioral Neuroscience,FALSE,26
40897,survey-text,11,8,591070,p09z5qk6x27,stimuli/106.jpg,medium,"sharp and uneven, has some clean 90 degree angles at the bottom middle",13,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p09z5qk6x27_1772155536316.csv,lynx,"sharp and uneven, has some clean 90 degree angles at the bottom middle ",Male,Cognitive Behavioral Neuroscience,FALSE,106
47175,survey-text,12,9,638250,p09z5qk6x27,stimuli/42.jpg,easy,"skinny at the bottom and has a broad part at the top, overall flat edges",15,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p09z5qk6x27_1772155536316.csv,lynx,"skinny at the bottom and has a broad part at the top, overall flat edges",Male,Cognitive Behavioral Neuroscience,FALSE,42
58733,survey-text,13,10,696988,p09z5qk6x27,stimuli/98.jpg,medium,kind of looks like an anvil if you look at it sideways,12,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p09z5qk6x27_1772155536316.csv,lynx,kind of looks like an anvil if you look at it sideways,Male,Cognitive Behavioral Neuroscience,FALSE,98
30278,survey-text,14,11,727271,p09z5qk6x27,stimuli/34.jpg,easy,"3 mostly flat edges, with inward spikes at the top",10,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p09z5qk6x27_1772155536316.csv,lynx,"3 mostly flat edges, with inward spikes at the top",Male,Cognitive Behavioral Neuroscience,FALSE,34
73944,survey-text,15,12,801221,p09z5qk6x27,stimuli/154.jpg,hard,looks like an L flipped and if it was sharp,10,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p09z5qk6x27_1772155536316.csv,lynx,looks like an L flipped and if it was sharp,Male,Cognitive Behavioral Neuroscience,FALSE,154
58776,survey-text,16,13,860001,p09z5qk6x27,stimuli/146.jpg,hard,"uneven and jagged, lots of inward folding, making it has a large perimeter",13,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p09z5qk6x27_1772155536316.csv,lynx,"uneven and jagged, lots of inward folding, making it has a large perimeter",Male,Cognitive Behavioral Neuroscience,FALSE,146
18631,survey-text,17,14,878638,p09z5qk6x27,stimuli/18.jpg,easy,"looks like a kite
",4,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p09z5qk6x27_1772155536316.csv,lynx,"looks like a kite
",Male,Cognitive Behavioral Neuroscience,FALSE,18
11511,survey-text,18,15,890154,p09z5qk6x27,stimuli/2.jpg,easy,sharp dorito,2,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p09z5qk6x27_1772155536316.csv,lynx,sharp dorito,Male,Cognitive Behavioral Neuroscience,FALSE,2
99157,survey-text,19,16,989316,p09z5qk6x27,stimuli/130.jpg,hard,"uneven and jagged, uneven and asymetrical",6,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p09z5qk6x27_1772155536316.csv,lynx,"uneven and jagged, uneven and asymetrical",Male,Cognitive Behavioral Neuroscience,FALSE,130
70831,survey-text,20,17,1060152,p09z5qk6x27,stimuli/50.jpg,easy,gives me massachusetts vibes,4,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p09z5qk6x27_1772155536316.csv,lynx,gives me massachusetts vibes,Male,Cognitive Behavioral Neuroscience,FALSE,50
134194,survey-text,21,18,1194352,p09z5qk6x27,stimuli/74.jpg,medium,"one side is flat with spikes sticking out and the other sides are almost making a pyramid but ones dented
",20,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p09z5qk6x27_1772155536316.csv,lynx,"one side is flat with spikes sticking out and the other sides are almost making a pyramid but ones dented
",Male,Cognitive Behavioral Neuroscience,FALSE,74
37575,survey-text,22,19,1231932,p09z5qk6x27,stimuli/138.jpg,hard,"the right and top side look serated, the bottom left is flat",12,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p09z5qk6x27_1772155536316.csv,lynx,"the right and top side look serated, the bottom left is flat",Male,Cognitive Behavioral Neuroscience,FALSE,138
