"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","participant_gender","stimulus","response","timeout","failed_images","failed_audio","failed_video","figure","difficulty","response_time_seconds","text_response","word_count","response_index","question_order"
"true","1261","fullscreen","0","null","2275","pcvorlv6uv5","","","","","","","","","","","","","","",""
"","11423","html-keyboard-response","1","2.0.0","13700","pcvorlv6uv5","","","
    <div>
      <p>Welcome to our experiment!</p>
      <p>In each trial, you will see a shape. Describe the shape as accurately as you can in the provided textbox.</p>
      <p>Your description can be as long or as short as you’d like, from just a few words up to a whole paragraph if you feel that is necessary.</p>
      <p></p>
      <p>The next page will ask for participant ID.</p>
      <p></p>
      <p>After all the trials have been completed, the last page will ask for some demographic information.</p>
      <p></p>
      <p>Once you are ready to start, click any button.</p>
    </div>"," ","","","","","","","","","","",""
"","2677","survey-text","2","2.0.0","16381","pcvorlv6uv5","","","","{""participant_id"":""sloth""}","","","","","","","","","","",""
"true","","preload","3","2.0.0","16526","pcvorlv6uv5","","","","","false","[]","[]","[]","","","","","","",""
"","24317","survey-text","4","2.0.0","40853","pcvorlv6uv5","","","","{""image_description"":""angular, like a US state with triangle cutting into it ""}","","","","","stimuli/55.jpg","medium","NaN","angular, like a US state with triangle cutting into it ","10","",""
"","34562","survey-text","5","2.0.0","75418","pcvorlv6uv5","","","","{""image_description"":""smooth, many sides, three squarish sections ""}","","","","","stimuli/95.jpg","medium","NaN","smooth, many sides, three squarish sections ","6","",""
"","38687","survey-text","6","2.0.0","114108","pcvorlv6uv5","","","","{""image_description"":""big trapizoidal base with mroe trapizoids sticking out on top and one on each side. Top one has two more squares also""}","","","","","stimuli/111.jpg","hard","NaN","big trapizoidal base with mroe trapizoids sticking out on top and one on each side. Top one has two more squares also","22","",""
"","47621","survey-text","7","2.0.0","161731","pcvorlv6uv5","","","","{""image_description"":""a square with a triangle on top and another larger triangle ont he side\n""}","","","","","stimuli/47.jpg","easy","NaN","a square with a triangle on top and another larger triangle ont he side
","14","",""
"","14957","survey-text","8","2.0.0","176690","pcvorlv6uv5","","","","{""image_description"":""a square with two triangles cutting out the right side\n""}","","","","","stimuli/31.jpg","easy","NaN","a square with two triangles cutting out the right side
","10","",""
"","32765","survey-text","9","2.0.0","209459","pcvorlv6uv5","","","","{""image_description"":""angular, bird like, could be a microscope""}","","","","","stimuli/79.jpg","medium","NaN","angular, bird like, could be a microscope","7","",""
"","27296","survey-text","10","2.0.0","236759","pcvorlv6uv5","","","","{""image_description"":""looks like a sitting bird, base with a triangular tail on the right and a triangular head int he middle""}","","","","","stimuli/71.jpg","medium","NaN","looks like a sitting bird, base with a triangular tail on the right and a triangular head int he middle","20","",""
"","13918","survey-text","11","2.0.0","250681","pcvorlv6uv5","","","","{""image_description"":""triangle with a groove ont he bottom""}","","","","","stimuli/39.jpg","easy","NaN","triangle with a groove ont he bottom","7","",""
"","17337","survey-text","12","2.0.0","268021","pcvorlv6uv5","","","","{""image_description"":""5 sides, askew trapizoid""}","","","","","stimuli/15.jpg","easy","NaN","5 sides, askew trapizoid","4","",""
"","27864","survey-text","13","2.0.0","295888","pcvorlv6uv5","","","","{""image_description"":""very angular, many triangles pushed together, \""y\"" shaped""}","","","","","stimuli/127.jpg","hard","NaN","very angular, many triangles pushed together, ""y"" shaped","8","",""
"","42215","survey-text","14","2.0.0","338105","pcvorlv6uv5","","","","{""image_description"":""very angular, a square with many triangles taken out of it at all angles  ""}","","","","","stimuli/159.jpg","hard","NaN","very angular, a square with many triangles taken out of it at all angles  ","14","",""
