"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","participant_gender","stimulus","response","timeout","failed_images","failed_audio","failed_video","figure","difficulty","response_time_seconds","text_response","word_count","response_index","question_order"
"true","1360","fullscreen","0","null","2364","pk1dwlr68rx","","","","","","","","","","","","","","",""
"","6509","html-keyboard-response","1","2.0.0","8875","pk1dwlr68rx","","","
    <div>
      <p>Welcome to our experiment!</p>
      <p>In each trial, you will see a shape. Describe the shape as accurately as you can in the provided textbox.</p>
      <p>Your description can be as long or as short as you’d like, from just a few words up to a whole paragraph if you feel that is necessary.</p>
      <p></p>
      <p>The next page will ask for participant ID.</p>
      <p></p>
      <p>After all the trials have been completed, the last page will ask for some demographic information.</p>
      <p></p>
      <p>Once you are ready to start, click any button.</p>
    </div>"," ","","","","","","","","","","",""
"","3811","survey-text","2","2.0.0","12690","pk1dwlr68rx","","","","{""participant_id"":""badger""}","","","","","","","","","","",""
"true","","preload","3","2.0.0","12844","pk1dwlr68rx","","","","","false","[]","[]","[]","","","","","","",""
"","24113","survey-text","4","2.0.0","36962","pk1dwlr68rx","","","","{""image_description"":""spiky amalgamation boxy cut leaf ""}","","","","","stimuli/86.jpg","medium","NaN","spiky amalgamation boxy cut leaf ","5","",""
"","26183","survey-text","5","2.0.0","63147","pk1dwlr68rx","","","","{""image_description"":""a witch with a triangle hat leaning forward with her hips back""}","","","","","stimuli/78.jpg","medium","NaN","a witch with a triangle hat leaning forward with her hips back","12","",""
"","24476","survey-text","6","2.0.0","87624","pk1dwlr68rx","","","","{""image_description"":""a hunchback plump man with a small triangle head sitting""}","","","","","stimuli/38.jpg","easy","NaN","a hunchback plump man with a small triangle head sitting","10","",""
"","14539","survey-text","7","2.0.0","102165","pk1dwlr68rx","","","","{""image_description"":""a lopsided v-shaped vase""}","","","","","stimuli/30.jpg","easy","NaN","a lopsided v-shaped vase","4","",""
"","44516","survey-text","8","2.0.0","146684","pk1dwlr68rx","","","","{""image_description"":""a corner with three triangles cut out of it, the top triangle hole having an extra bite taken out of it""}","","","","","stimuli/46.jpg","easy","NaN","a corner with three triangles cut out of it, the top triangle hole having an extra bite taken out of it","21","",""
"","49423","survey-text","9","2.0.0","196109","pk1dwlr68rx","","","","{""image_description"":""an upside down code but the left side has a big triangle taken out of the left and the right side has a small triangle taken out, top is a v shape""}","","","","","stimuli/54.jpg","medium","NaN","an upside down code but the left side has a big triangle taken out of the left and the right side has a small triangle taken out, top is a v shape","32","",""
"","43952","survey-text","10","2.0.0","240062","pk1dwlr68rx","","","","{""image_description"":""an evil witch trying to cast a rooked spell with a cape, pointy nose and hat, hunched over on a broom""}","","","","","stimuli/158.jpg","hard","NaN","an evil witch trying to cast a rooked spell with a cape, pointy nose and hat, hunched over on a broom","21","",""
"","26837","survey-text","11","2.0.0","266901","pk1dwlr68rx","","","","{""image_description"":""a jagged shape with a dog with a boxy snout cut out into it from the left""}","","","","","stimuli/150.jpg","hard","NaN","a jagged shape with a dog with a boxy snout cut out into it from the left","17","",""
"","25655","survey-text","12","2.0.0","292557","pk1dwlr68rx","","","","{""image_description"":""a spiky boxy shape with rhombuses cut out of it and triangles cut out of it""}","","","","","stimuli/126.jpg","hard","NaN","a spiky boxy shape with rhombuses cut out of it and triangles cut out of it","16","",""
"","39830","survey-text","13","2.0.0","332389","pk1dwlr68rx","","","","{""image_description"":""a boxy spiky shape with a dent in its head, a triple triangle taken out of the left and a big wide triangle taken out of the right""}","","","","","stimuli/134.jpg","hard","NaN","a boxy spiky shape with a dent in its head, a triple triangle taken out of the left and a big wide triangle taken out of the right","28","",""
"","16237","survey-text","14","2.0.0","348628","pk1dwlr68rx","","","","{""image_description"":""a wonky diamond with a spike on the right""}","","","","","stimuli/22.jpg","easy","NaN","a wonky diamond with a spike on the right","9","",""
"","31348","survey-text","15","2.0.0","379978","pk1dwlr68rx","","","","{""image_description"":""a wolf facing left gaping its mouth open with its ear pointing up to the top right""}","","","","","stimuli/102.jpg","medium","NaN","a wolf facing left gaping its mouth open with its ear pointing up to the top right","17","",""
"","41808","survey-text","16","2.0.0","421788","pk1dwlr68rx","","","","{""image_description"":""a fox creature with a big bushy tail jumping with its hind legs ip in the air. its body faces right but its head is towards the top left""}","","","","","stimuli/118.jpg","hard","NaN","a fox creature with a big bushy tail jumping with its hind legs ip in the air. its body faces right but its head is towards the top left","29","",""
"","15765","survey-text","17","2.0.0","437554","pk1dwlr68rx","","","","{""image_description"":""a square piece with rhombuses cut out of it""}","","","","","stimuli/110.jpg","hard","NaN","a square piece with rhombuses cut out of it","9","",""
"","71139","survey-text","18","2.0.0","508695","pk1dwlr68rx","","","","{""image_description"":""a fox creature kneeling on the ground with its arm hovering above the ground. body faces right and its small pointy ears are lowered""}","","","","","stimuli/142.jpg","hard","NaN","a fox creature kneeling on the ground with its arm hovering above the ground. body faces right and its small pointy ears are lowered","24","",""
"","34477","survey-text","19","2.0.0","543174","pk1dwlr68rx","","","","{""image_description"":""a roundish boxy hexagon with a sharp triangle finger pointing into it from the right""}","","","","","stimuli/62.jpg","medium","NaN","a roundish boxy hexagon with a sharp triangle finger pointing into it from the right","15","",""
"","7029","survey-text","20","2.0.0","550204","pk1dwlr68rx","","","","{""image_description"":""a 5 sided polygon""}","","","","","stimuli/14.jpg","easy","NaN","a 5 sided polygon","4","",""
"","11017","survey-text","21","2.0.0","561223","pk1dwlr68rx","","","","{""image_description"":""a 4 sided polygon, not symmetrical""}","","","","","stimuli/6.jpg","easy","NaN","a 4 sided polygon, not symmetrical","6","",""
"","36982","survey-text","22","2.0.0","598207","pk1dwlr68rx","","","","{""image_description"":""an amalgamation of sharp angles and cuts, with a tiny sharp triangle on the very top right""}","","","","","stimuli/94.jpg","medium","NaN","an amalgamation of sharp angles and cuts, with a tiny sharp triangle on the very top right","17","",""
"","45259","survey-text","23","2.0.0","643468","pk1dwlr68rx","","","","{""image_description"":""a heart but the left side has a boxy bump, the right size is elongated and is sharp, and the tail is elongated and twisted up into a sharp triangle""}","","","","","stimuli/70.jpg","medium","NaN","a heart but the left side has a boxy bump, the right size is elongated and is sharp, and the tail is elongated and twisted up into a sharp triangle","30","",""
"","12189","survey-text","24","2.0.0","655657","pk1dwlr68rx","","","","{""participant_major"":""Cognitive Science (Design and Interaction)""}","","","","","","","","","","",""
"","2160","survey-multi-choice","25","2.2.0","657819","pk1dwlr68rx","","","","{""participant_gender"":""Female""}","","","","","","","","","","[0]","[0]"
