"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","participant_gender","stimulus","response","timeout","failed_images","failed_audio","failed_video","figure","difficulty","response_time_seconds","text_response","word_count","response_index","question_order"
"true","1923","fullscreen","0","null","2943","prfuy05u3yl","","","","","","","","","","","","","","",""
"","20213","html-keyboard-response","1","2.0.0","23159","prfuy05u3yl","","","
    <div>
      <p>Welcome to our experiment!</p>
      <p>In each trial, you will see a shape. Describe the shape as accurately as you can in the provided textbox.</p>
      <p>Your description can be as long or as short as you’d like, from just a few words up to a whole paragraph if you feel that is necessary.</p>
      <p></p>
      <p>The next page will ask for participant ID.</p>
      <p></p>
      <p>After all the trials have been completed, the last page will ask for some demographic information.</p>
      <p></p>
      <p>Once you are ready to start, click any button.</p>
    </div>"," ","","","","","","","","","","",""
"","2849","survey-text","2","2.0.0","26045","prfuy05u3yl","","","","{""participant_id"":""tiger""}","","","","","","","","","","",""
"true","","preload","3","2.0.0","26282","prfuy05u3yl","","","","","false","[]","[]","[]","","","","","","",""
"","95411","survey-text","4","2.0.0","121747","prfuy05u3yl","","","","{""image_description"":""14 lines, jagged and sharp turning points on the top left and bottom right. looks like an outline of a my little petshop toy/or an animal like dog/cat tilting head ""}","","","","","stimuli/57.jpg","medium","NaN","14 lines, jagged and sharp turning points on the top left and bottom right. looks like an outline of a my little petshop toy/or an animal like dog/cat tilting head ","30","",""
"","118792","survey-text","5","2.0.0","240548","prfuy05u3yl","","","","{""image_description"":""6 sharp turning points, can almost resemble transformer signal ""}","","","","","stimuli/89.jpg","medium","NaN","6 sharp turning points, can almost resemble transformer signal ","9","",""
"","185041","survey-text","6","2.0.0","425593","prfuy05u3yl","","","","{""image_description"":""looks like a upright type of paintball gn, with an air brush insert at top.\nmix of triangles, almost squares and semi pentagon""}","","","","","stimuli/153.jpg","hard","NaN","looks like a upright type of paintball gn, with an air brush insert at top.
mix of triangles, almost squares and semi pentagon","23","",""
"","224215","survey-text","7","2.0.0","649811","prfuy05u3yl","","","","{""image_description"":""what a sitting pterodactyl would look like if it had two horns, also reminds me of the red animal from Hercules. \nPointed and jagged edges oriented towards the left/up""}","","","","","stimuli/97.jpg","medium","NaN","what a sitting pterodactyl would look like if it had two horns, also reminds me of the red animal from Hercules. 
Pointed and jagged edges oriented towards the left/up","29","",""
"","105565","survey-text","8","2.0.0","755387","prfuy05u3yl","","","","{""image_description"":""4 sides, two lines are almost parallel with the bottom being longer and slightly angled. Left and right lines can be considered mirrored orientation but still one is slightly longer/angled""}","","","","","stimuli/9.jpg","easy","NaN","4 sides, two lines are almost parallel with the bottom being longer and slightly angled. Left and right lines can be considered mirrored orientation but still one is slightly longer/angled","30","",""
"","334982","survey-text","9","2.0.0","1090375","prfuy05u3yl","","","","{""image_description"":""looks like a broken text box section you would see with pamphlets or comic books\n8 straight turns with 3 of them making up what could be a triangle""}","","","","","stimuli/33.jpg","easy","NaN","looks like a broken text box section you would see with pamphlets or comic books
8 straight turns with 3 of them making up what could be a triangle","29","",""
